id,lang,pecha name,url
I5D6FF186,en,Adeu Rinpoche Series,https://github.com/OpenPecha-Data/I5D6FF186
I8FBA6FFA,bo,Adeu Rinpoche Series,https://github.com/OpenPecha-Data/I8FBA6FFA
IAB7CA287,en,Adzom Drukpa Series,https://github.com/OpenPecha-Data/IAB7CA287
I33981E88,bo,Adzom Drukpa Series,https://github.com/OpenPecha-Data/I33981E88
I7D921049,en,Adzom Gyalse Series,https://github.com/OpenPecha-Data/I7D921049
I480EF08F,es,Adzom Gyalse Series,https://github.com/OpenPecha-Data/I480EF08F
I3B477F43,bo,Adzom Gyalse Series,https://github.com/OpenPecha-Data/I3B477F43
I2DA408D9,en,Akhyuk Rinpoche Lungtok Gyaltsen,https://github.com/OpenPecha-Data/I2DA408D9
I88382D8F,bo,Akhyuk Rinpoche Lungtok Gyaltsen,https://github.com/OpenPecha-Data/I88382D8F
IA2E0A866,en,Alak Zenkar Pema Ngödrup Rolwe Dorje,https://github.com/OpenPecha-Data/IA2E0A866
IF44C47B4,bo,Alak Zenkar Pema Ngödrup Rolwe Dorje,https://github.com/OpenPecha-Data/IF44C47B4
I2A978499,en,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/I2A978499
I96E41A09,de,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/I96E41A09
IA8A05250,es,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/IA8A05250
I809FC1AD,fr,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/I809FC1AD
I03D09519,it,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/I03D09519
I1A692DB0,nl,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/I1A692DB0
IBAB6DC35,pt,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/IBAB6DC35
I6FC4609A,zh,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/I6FC4609A
IB24AF817,bo,Alak Zenkar Rinpoche,https://github.com/OpenPecha-Data/IB24AF817
IE53527A1,en,Amdo Geshe Jampal Rolwé Lodrö,https://github.com/OpenPecha-Data/IE53527A1
I5548DF34,bo,Amdo Geshe Jampal Rolwé Lodrö,https://github.com/OpenPecha-Data/I5548DF34
I7E7413BF,en,Apang Tertön Series,https://github.com/OpenPecha-Data/I7E7413BF
ICD99944C,bo,Apang Tertön Series,https://github.com/OpenPecha-Data/ICD99944C
I544E235C,en,Bengar Jampal Zangpo,https://github.com/OpenPecha-Data/I544E235C
IBBDCCFBA,bo,Bengar Jampal Zangpo,https://github.com/OpenPecha-Data/IBBDCCFBA
IB30BBEF0,en,Böpa Tulku Dongak Tenpe Nyima,https://github.com/OpenPecha-Data/IB30BBEF0
IA8367CB3,bo,Böpa Tulku Dongak Tenpe Nyima,https://github.com/OpenPecha-Data/IA8367CB3
I01D56ED2,en,Butön Rinchen Drup Series,https://github.com/OpenPecha-Data/I01D56ED2
I2341447E,it,Butön Rinchen Drup Series,https://github.com/OpenPecha-Data/I2341447E
I9334A77B,bo,Butön Rinchen Drup Series,https://github.com/OpenPecha-Data/I9334A77B
I7491454A,en,Chatral Rinpoche,https://github.com/OpenPecha-Data/I7491454A
IA4F7740F,de,Chatral Rinpoche,https://github.com/OpenPecha-Data/IA4F7740F
I2714BD14,es,Chatral Rinpoche,https://github.com/OpenPecha-Data/I2714BD14
ICBB6B699,fr,Chatral Rinpoche,https://github.com/OpenPecha-Data/ICBB6B699
I051BA4A1,it,Chatral Rinpoche,https://github.com/OpenPecha-Data/I051BA4A1
IEC003744,pt,Chatral Rinpoche,https://github.com/OpenPecha-Data/IEC003744
I17378CBB,zh,Chatral Rinpoche,https://github.com/OpenPecha-Data/I17378CBB
I38D61D91,bo,Chatral Rinpoche,https://github.com/OpenPecha-Data/I38D61D91
I51041ADA,en,Chögyal Pakpa Lodrö Gyaltsen,https://github.com/OpenPecha-Data/I51041ADA
I5E88FCE5,fr,Chögyal Pakpa Lodrö Gyaltsen,https://github.com/OpenPecha-Data/I5E88FCE5
IDB99FE99,bo,Chögyal Pakpa Lodrö Gyaltsen,https://github.com/OpenPecha-Data/IDB99FE99
IFA11FBD5,en,Chöje Lingpa Series,https://github.com/OpenPecha-Data/IFA11FBD5
I71257521,bo,Chöje Lingpa Series,https://github.com/OpenPecha-Data/I71257521
I94468389,en,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I94468389
I333135C7,de,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I333135C7
I1CFA6EB5,es,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I1CFA6EB5
I431D4AC4,fr,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I431D4AC4
IF33A0D32,it,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/IF33A0D32
I678B7104,nl,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I678B7104
IF0492F4D,pt,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/IF0492F4D
I8F044EAE,zh,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I8F044EAE
I0AB7F753,bo,Chokgyur Dechen Lingpa,https://github.com/OpenPecha-Data/I0AB7F753
I7B42478B,en,Chokling Tersé Tulku,https://github.com/OpenPecha-Data/I7B42478B
I06240925,bo,Chokling Tersé Tulku,https://github.com/OpenPecha-Data/I06240925
IFCD77817,en,Ngöndro Commentary by Chökyi Drakpa,https://github.com/OpenPecha-Data/IFCD77817
I399972B3,es,Ngöndro Commentary by Chökyi Drakpa,https://github.com/OpenPecha-Data/I399972B3
ID35DD891,fr,Ngöndro Commentary by Chökyi Drakpa,https://github.com/OpenPecha-Data/ID35DD891
IBBAA45BA,bo,Ngöndro Commentary by Chökyi Drakpa,https://github.com/OpenPecha-Data/IBBAA45BA
IFFBAADFF,en,Chomden Rigpé Raldri,https://github.com/OpenPecha-Data/IFFBAADFF
IAA9C309A,fr,Chomden Rigpé Raldri,https://github.com/OpenPecha-Data/IAA9C309A
I8E00FE78,bo,Chomden Rigpé Raldri,https://github.com/OpenPecha-Data/I8E00FE78
I49C51117,en,Chöying Tobden Dorje,https://github.com/OpenPecha-Data/I49C51117
IEA978EEF,bo,Chöying Tobden Dorje,https://github.com/OpenPecha-Data/IEA978EEF
IDD60A07D,en,Dampa Rinpoche Ngawang Lodrö Nyingpo,https://github.com/OpenPecha-Data/IDD60A07D
I4966B8BE,bo,Dampa Rinpoche Ngawang Lodrö Nyingpo,https://github.com/OpenPecha-Data/I4966B8BE
IAF8BEBB2,en,Dezhung Rinpoche Series,https://github.com/OpenPecha-Data/IAF8BEBB2
IA1A0A007,bo,Dezhung Rinpoche Series,https://github.com/OpenPecha-Data/IA1A0A007
I0ECEED34,en,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I0ECEED34
I3FB49B0F,de,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I3FB49B0F
IB24D8BEF,es,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IB24D8BEF
I440468C3,fr,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I440468C3
I7DD1DA1D,it,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I7DD1DA1D
I5BA3C17B,nl,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/I5BA3C17B
IF73CCFDD,pt,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IF73CCFDD
IF8841CCF,zh,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IF8841CCF
IFE6FE4FF,bo,Dilgo Khyentse Rinpoche Series,https://github.com/OpenPecha-Data/IFE6FE4FF
I16A9EA0C,en,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I16A9EA0C
I7064286B,de,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I7064286B
I3F3814CD,es,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I3F3814CD
IC62F555B,fr,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/IC62F555B
I71646354,it,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I71646354
I0A6B09E9,nl,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I0A6B09E9
IEC93559C,zh,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/IEC93559C
I0C150115,bo,Do Khyentse Yeshe Dorje Series,https://github.com/OpenPecha-Data/I0C150115
I050C6C73,en,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/I050C6C73
IDFE147D3,de,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IDFE147D3
I4B2E1A62,es,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/I4B2E1A62
I9E70000D,fr,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/I9E70000D
IFDA749BF,it,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IFDA749BF
IC6DA4336,pt,Dodrupchen Jigme Tenpe Nyima Series,https://github.com/OpenPecha-Data/IC6DA4336
