pecha_id,title,bdrc_work_id
I2F488D23,གཏེར་ཆོས། རྩ་གསུམ་གླིང་པ།,W4CZ1042
IBF19889E,རྒྱུད་སྡེ་ཀུན་བཏུས། （རྫོང་སར་གློག་ཀླད་པར་མ།）,W2PD14777
I7E15C679,གསུང་འབུམ། ཤཱཀྱ་མཆོག་ལྡན།,W1KG16652
IA9064634,འབྲུག་པའི་ཆོས་མཛོད་ཆེན་པོ་བསམ་འཕེལ་ནོར་བུའི་བང་མཛོད།,W3CN2232
I4BE919B5,ཞི་བྱེད་སྔ་ཕྱི་བར་གསུམ་གྱི་ཆོས་སྐོར་ཕྱོགས་བསྒྲིགས།,W1KG22147
I53B92FB0,དམ་ཆོས་དགོངས་པ་ཡང་ཟབ་ཀྱི་ཆོས་སྐོར་ཕྱོགས་བསྒྲིགས།,W1KG22609
I1926B6BF,ས་སྐྱ་པའི་བཀའ་སྲུང་རྣམས་ལ་མཆོད་གཏོར་དང་བསྐང་གསོ་དམ་ཅན་དགྱེས་པའི་མཆོད་སྤྲིན་འདོད་དགུའི་དཔག་བསམ་བཀྲ་ཤིས་ནོར་བུའི་དགའ་འཁྱིལ།,W1KG17574
IE58754E3,སྔ་འགྱུར་བཀའ་མ་ཤིན་ཏུ་རྒྱས་པ།,W1PD100944
I48997D14,ཆོ་ག་ཕྱོགས་བསྒྲིགས།,W4PD2081
I3356367B,བཀའ་གཏེར་གཉིས་འདུས་སྨིན་གླིང་རྡོར་སེམས་ཀྱི་སྒྲུབ་སྐོར་ཆོས་ཚན།,W1KG13836
I1AB94955,གསུང་འབུམ། མཁྱེན་བརྩེའི་དབང་པོ།,W3PD1002
I86372885,གཏེར་ཆོས། རིག་འཛིན་ཉི་མ་གྲགས་པ།,W3PD1100
I249A5569,གཡུ་ཐོག་སྙིང་ཐིག་སྐོར་ཕྱོགས་སྒྲིག,W4PD2074
I59D5AF66,དཔལ་ལྡན་སྟག་ལུང་པའི་གསུང་རྣམས་ནོར་བཞི་བང་མཛོད།,W1PD166109
IC9BD669A,ཚད་མ་བསྡུས་པ་རིགས་པའི་མཚོན་ཆ།,W3CN4042
I12BBD990,མདོ་ཆེན་ཨ་ཁོ་རིས་ཐུབ་བསྟན་ཉི་ཤར་གླིང་གི་ཞལ་འདོན་ཕྱོགས་བསྒྲིགས།,W2PD19997
I8A131C43,གསུང་འབུམ། འཇིགས་མེད་རོལ་པའི་རྡོ་རྗེ།,W3CN3328
